category,sub-category,crimeaditionalinfo
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,"Sir
I am writing this letter because of online blackmailing and harassment Actually sir i took loan from few app they promised me to give tenure of  days but after  days they are asking for money Due to inconvenience i am unable to pay now and i Said them this  At the time of taking loan they asked me about my PAN AND ADHARCARD DETAILS Now they have started blackmailing me and my contacts They are calling me rapist and using abusive languagethey are harassing my sister They hacked my contact list and sending them inappropriate message regarding me They are spoiling my image and mental health They can misuse my Adharcard and Pan card details  please help me to get out of this situation Each day i am harassed mentally as well as my family  My DETAILS
PAN EPGPRC
AADHAR CARD  
Numbers which are harassing me


"
Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Dear Sir My name is my name is Lakshmikanta Pradhan Son of Bhuban Ch Pradhan vill and post is Erend PS  Egra  Dist Purba Medinipur PIN  WB
I  am a business man also I working in PMP Honda Contai motor cycle showroom
From January  Disturb me through  whats app  crummy  video and voice recording  also undesirable  call to my no  and  from 
 



"
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  UPI Phone Pe
BANK PUNJAB NATIONAL BANK 
ACCOUNT NUMBER 
TOTAL AMOUNT 
PLEASE HOLDREVERSE TOTAL AMOUNT IN THE COMPLAINANTS ACCOUNT AND TAKE NECESSARY ACTION"
Online Financial Fraud,UPI Related Frauds,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  Facebook
victim saw a bike ad in facebook and victim contact the fraudster and victim believe the fraudster and lost the money "
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"Online Frauds   Advertisement Portal Fraud  eCommerce platform  OLX
victim took a product on OLX fraudster contact the victim and said i will send money to your phone pay first i will send one QR code scan that code victim trust the fraudster words and scan the QR code and lost the money"
Online and Social Media Related Crime,FakeImpersonating Profile,sent a whats app video of lottery prize asking call through whats app for demanding money please identify and stop this kind of frauds and keep them away from the people before get into this frauds
Online Financial Fraud,UPI Related Frauds,some one call me said i know you madan i send you  in you account please return me through paytm send barcode call no is  and upi id is paytm  then he said he did not recive money then i send one more time i am not awre or this kind of things i am ordinary shoke keeper in chirag delhi please help us this is huge amount for us
Online Financial Fraud,UPI Related Frauds,"UPI Fraud of total INR  on my  accounts at ICICI Bank  and SBI  done through UPI linked to PayTM app paytm 

Accused posed as a buyer to purchase items I had listed on Facebook marketplace and Olx He sent QR codes and first paid Rs  and again Rs  to appear genuine 

Then on successive calls he said he would credit my entire amount through QR codes and I erroneously sent Rs  to his Kotak Mahindra Account No  Name Shahin Sameer Shaikh UPI ybl

Details indicated above with screenshots show a cumulative fraud of INR  on  between  pm   pm

Request resolution at the earliest and copy of this complaint will be submitted to concerned banks shortly"
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,Internet Banking Related Fraud,fraud through net banking  transactions were made using my account without my consent I did not share any otp or any details of the same My bank account was hacked  tractions in the duration of  minutes were made I have shared the screen shot of the messages i received
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH     UPI Fraud  PHONE PE     
BANK  Indian Bank including Allahabad Bank	 	 	
ACCOUNT NUMBER  
TOTAL AMOUNT 
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION 
"
Online Financial Fraud,UPI Related Frauds,Amount deducted through upi
Online Financial Fraud,UPI Related Frauds,I have the call recordings for the incident happen with me i have blocked everything with the hdfc bank and my account is freeze for now he called me and once my amount rs  is deducted  i ask for the money back then he provide me some scan codes on whatsup saying that he is refunding the amount back in short amount  but its not done and he did this  times in some time only i had lost rs  from my hdfc bank account please help me in refunding my account he blocked my number after that 
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,A group of people bulling someone by abusive language they try to create fear by calling fight This all happening in a facebook Messenger group i have attached group link with complaint And main reason of my complaint is their mentality i have left group several times they do not let you leave kept adding again and again At first i thought they are kids so i felt to ignore these messages and contacted their families Got  thier numbers by self investigation but they are not letting anyone leave group or deleting it
Online Financial Fraud,UPI Related Frauds,                                                                                                                                                                                       
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  PHONE PE
BANK  BANK OF INDIA 
ACCOUNT NUMBER  
TOTAL AMOUNT 	
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT  ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,Fraud CallVishing,Recived a call and on call my amount is deducted from my bank with the net Banking Me not received a OTP in my mobile number after that amount is deducted Bank can not resolve this issue I have an appeal to hold my amount Take a legal action to who Fraud me
